opus_name,opus_number,views,subscribed,upvotes
"Robert Schumann - Piano Quintet in E flat major, Op. 44",44,"18,687",5K,124
"Renaud Capuçon: Beethoven - Romance for Violin and Orchestra No. 2 in F major, Op. 50 (Kurt Masur)",50,"26,704",40K,222
Johannes Brahms - Wiegenlied Op. 49 No. 4 (Lullaby),49,"159,393",19K,622
"Brahms - Sonata in C major, op. 1 - Stanislav Khristenko",1,"37,169",16K,100
"Brahms Horn Trio Op.40 - Barenboim, Perlman, Clevenger 1/4",40,"170,297",365,453
"Robert Schumann - Dichterliebe, Op. 48: Im wunderschönen Monat Mai",48,"10,932",1K,30
Antonin Dvorak - Slavonic Dances [Op. 46 & Op. 72],46,"658,269",15K,"2,434"
"Hermann Prey - Sonntag, Op. 47, No 3 - Johannes Brahms",47,"49,593",784,130
"Brahms - Ein Deutsches Requiem, Op. 45: I. Selig sind, die da Leid tragen (Part I)",45,"134,564",858,316
"Brahms Waltz in A-Flat Major, Op. 39 No. 15 - Evgeny Kissin",39,"639,757",1K,"1,741"
"Johannes Brahms - Aus des Meeres tiefem Grunde (""Vineta"") Op. 42(2)",42,"9,742",6,31
"Brahms - Cello Sonata No.1 in E minor, Op. 38",38,"323,489",562,"2,254"
"Johannes Brahms - Vier ernste Gesänge (Four Serious Songs), Op. 121 Mróz-bass / Marchwiński-piano",121,"13,949",48,73
Jessye Norman Vier Gesange Op. 43  1.  Von ewiger Liebe - Brahms,43,"13,656",4K,49
"Ludwig van Beethoven - Serenade, op. 41 - Flute & Piano",41,"25,600",463,91
"Ernö Dohnányi, Sextet in C Major, Op.37 For Violin, Viola, Cello, Clarinet, Horn and Piano",37,"13,009",48,55
"Brahms Sonata No. 1 in F minor for clarinet and piano, Op. 120 No. 1 - I & II",120,"117,094",1K,388
"Brahms Sextet in G Major, Op. 36, I. Allegro non troppo",36,"27,559",35,85
"Johannes Brahms: Choralvorspiele op. 122: ""Herzlich tut mich verlangen""",122,"26,080",,65
"Brahms - 4 Klavierstücke, Op. 119 (Murray Perahia)",119,"68,172",8K,284
"Evgeny Kissin plays Brahms-op.118 intermezzos  1,2",118,"346,490",1K,811
Brahms - Intermezzo Op.117-1,117,"181,876",2K,606
"Nachtens, Op. 112, No. 1",112,"3,797",28,2
Johannes Brahms - Trio in A minor op.114,114,"225,753",2K,"1,322"
"Johannes Brahms: String Quintet No. 2 in G Major, Op. 111",111,"86,284",871,456
"Ach, arme Welt - Brahms Op. 110 Motets - Brian T. Russell, conductor",110,"9,684",22,
Robert Schumann Märchenbilder Op.113,113,"51,246",762,451
"Johannes Brahms - Clarinet Quintet in B minor, Op. 115 - Bingham String Quartet",115,"292,450",24K,"1,447"
"Beethoven - Piano Sonata No. 30 in E, Op. 109 (Murray Perahia)   Part 1 of 2",109,"16,042",942,48
